"Name";"DisplayName";"Description";"Group";"Enabled";"Profile";"Platform";"Direction";"Action";"EdgeTraversalPolicy";"LooseSourceMapping";"LocalOnlyMapping";"Owner";"LocalAddress";"RemoteAddress";"Protocol";"LocalPort";"RemotePort";"IcmpType";"DynamicTarget";"Program";"Package";"Service";"InterfaceAlias";"InterfaceType";"LocalUser";"RemoteUser";"RemoteMachine";"Authentication";"Encryption";"OverrideBlockRules"
"NETDIS-UPnPHost-Out-TCP";"Network Discovery (UPnP-Out)";"Outbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP]";"@FirewallAPI.dll,-32752";"False";"Domain, Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"2869";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Microsoft-Windows-PeerDist-HostedServer-Out";"BranchCache Hosted Cache Server(HTTP-Out)";"Outbound rule for BranchCache to allow communication between a hosted cache and its clients [TCP]";"@peerdistsh.dll,-9002";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"80,443";"Any";"Any";"";"SYSTEM";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PlayTo-QWave-Out-TCP-PlayToScope";"Cast to Device functionality (qWave-TCP-Out)";"Outbound rule for the Cast to Device functionality to allow use of the Quality Windows Audio Video Experience Service. [TCP 2177]";"@FirewallAPI.dll,-36001";"True";"Private, Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"PlayToDevice";"TCP";"Any";"2177";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"Qwave";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"MSDTC-Out-TCP";"Distributed Transaction Coordinator (TCP-Out)";"Outbound rule to allow traffic for the Distributed Transaction Coordinator. [TCP]";"@FirewallAPI.dll,-33502";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"Any";"Any";"";"%SystemRoot%\system32\msdtc.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RRAS-L2TP-Out-UDP";"Routing and Remote Access (L2TP-Out)";"Outbound rule for RRAS to allow Layer 2 Tunnel Protocol traffic. [UDP 1701]";"@FirewallAPI.dll,-33752";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"Any";"1701";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-PTB-Out";"Core Networking - Packet Too Big (ICMPv6-Out)";"Packet Too Big error messages are sent from any node that a packet traverses which is unable to forward the packet because the packet is too large for the next link.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"ICMPv6";"RPC";"Any";"2";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-NB_Datagram-Out-UDP";"Network Discovery (NB-Datagram-Out)";"Outbound rule for Network Discovery to allow NetBIOS Datagram transmission and reception. [UDP 138]";"@FirewallAPI.dll,-32752";"False";"Domain, Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"Any";"138";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-NB_Name-Out-UDP";"Network Discovery (NB-Name-Out)";"Outbound rule for Network Discovery to allow NetBIOS Name Resolution. [UDP 137]";"@FirewallAPI.dll,-32752";"False";"Domain, Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"Any";"137";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteEventLogSvc-In-TCP";"Remote Event Log Management (RPC)";"Inbound rule for the local Event Log service to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-29252";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPC";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"Eventlog";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IPv6-In";"Core Networking - IPv6 (IPv6-In)";"Inbound rule required to permit IPv6 traffic for ISATAP (Intra-Site Automatic Tunnel Addressing Protocol) and 6to4 tunneling services.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"41";"Any";"Any";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
